datestring,tpa_unemp,daten,tpa_nonfarm,tpa_bp,tpa_tech,tpa_serv,tpa_aveweek_earn,tpa_avehour_earn,tpa_aveweek_hour,tpa_priv,fl_nonfarm
1/1/1990,5.1,1-Jan-90,852.5,2100,,711,,,,738,5313.9
2/1/1990,4.8,1-Feb-90,862.3,755,,720.2,,,,746.6,5372.1
3/1/1990,4.5,1-Mar-90,869.6,831,,727.7,,,,753.1,5426.9
4/1/1990,4.7,1-Apr-90,867.7,1654,,727,,,,750.7,5393.8
5/1/1990,4.7,1-May-90,868,951,,726.7,,,,750.6,5405.4
6/1/1990,4.9,1-Jun-90,867.8,1145,,726.1,,,,751.5,5397.1
7/1/1990,5.1,1-Jul-90,847.1,958,,707.4,,,,740.4,5279
8/1/1990,5.1,1-Aug-90,856.8,1026,,716.3,,,,745.1,5286.4
9/1/1990,5.4,1-Sep-90,862.7,902,,722.6,,,,744.5,5337.6
10/1/1990,5.1,1-Oct-90,860.3,656,,722.1,,,,741.2,5348.2
11/1/1990,5.6,1-Nov-90,867.5,669,,731,,,,747,5388.5
12/1/1990,5.4,1-Dec-90,869.9,1007,,734.6,,,,751.3,5410.4
1/1/1991,6.4,1-Jan-91,842.5,670,,712.9,,,,726,5281.6
2/1/1991,6.4,1-Feb-91,847.1,544,,718.4,,,,728.5,5302.8
3/1/1991,6.2,1-Mar-91,851.6,665,,723,,,,732.7,5335.2
4/1/1991,6.2,1-Apr-91,842.3,980,,715.4,,,,724.1,5296.5
5/1/1991,6.6,1-May-91,842.3,1099,,715.5,,,,723.7,5297.8
6/1/1991,6.9,1-Jun-91,836.4,854,,709,,,,720.7,5273.8
7/1/1991,6.8,1-Jul-91,818.4,1570,,692.5,,,,711,5172.4
8/1/1991,6.7,1-Aug-91,822.4,1011,,695.6,,,,714.7,5186.4
9/1/1991,6.8,1-Sep-91,831.9,859,,704.9,,,,714.7,5239.6
10/1/1991,6.7,1-Oct-91,836.5,852,,710.3,,,,717.3,5251.2
11/1/1991,6.8,1-Nov-91,845.6,625,,719.4,,,,725.7,5311.5
12/1/1991,6.8,1-Dec-91,850.7,1325,,725.1,,,,730.4,5336.8
1/1/1992,7.9,1-Jan-92,834.7,800,,712,,,,716.4,5256.3
2/1/1992,7.8,1-Feb-92,839,729,,716.5,,,,719.6,5291.6
3/1/1992,7.4,1-Mar-92,847,964,,723.5,,,,724.7,5369.5
4/1/1992,7.2,1-Apr-92,844.6,1022,,720.9,,,,724.9,5335.9
5/1/1992,7.3,1-May-92,847.5,1006,,723.3,,,,726.8,5342.2
6/1/1992,7.7,1-Jun-92,845.8,1037,,721.5,,,,726.5,5332.1
7/1/1992,7.5,1-Jul-92,830.5,969,,706,,,,718.7,5245.6
8/1/1992,7.4,1-Aug-92,828.4,967,,704.6,,,,718,5236.1
9/1/1992,7.3,1-Sep-92,843.7,803,,719.4,,,,720.7,5324.3
10/1/1992,6.7,1-Oct-92,846.2,891,,722,,,,724.4,5377
11/1/1992,6.9,1-Nov-92,859.5,781,,734.7,,,,733.6,5440.7
12/1/1992,6.5,1-Dec-92,863.4,958,,738.2,,,,739.4,5495
1/1/1993,7.5,1-Jan-93,848,1042,,721.7,,,,726.8,5412.9
2/1/1993,7.1,1-Feb-93,859.6,1218,,732.9,,,,735.1,5486
3/1/1993,6.7,1-Mar-93,866.4,950,,738.8,,,,742.1,5536
4/1/1993,6.7,1-Apr-93,870,900,,743,,,,746.3,5565.4
5/1/1993,6.7,1-May-93,872.2,1004,,744.8,,,,748.2,5558.4
6/1/1993,7.1,1-Jun-93,874.9,1124,,746.3,,,,752.2,5558.6
7/1/1993,6.8,1-Jul-93,863.8,1031,,734.1,,,,748.5,5470.6
8/1/1993,6.5,1-Aug-93,865.8,945,,736.4,,,,752,5469.7
9/1/1993,6.4,1-Sep-93,880.8,1083,,751.2,,,,756.6,5553.8
10/1/1993,6.1,1-Oct-93,887.4,924,,758.4,,,,760.9,5603.1
11/1/1993,5.9,1-Nov-93,897.5,1205,,768,,,,770.5,5656.6
12/1/1993,5.5,1-Dec-93,907.8,1033,,778.5,,,,780,5721
1/1/1994,6.4,1-Jan-94,896.6,1432,,767.9,,,,770.6,5635.3
2/1/1994,5.8,1-Feb-94,909,1173,,780.8,,,,780.6,5702.4
3/1/1994,5.7,1-Mar-94,917.9,1173,,789.7,,,,789.8,5765.6
4/1/1994,5.5,1-Apr-94,924.6,1220,,796.4,,,,795.6,5776.4
5/1/1994,5.3,1-May-94,926.5,1137,,798.1,,,,797.8,5779.1
6/1/1994,5.4,1-Jun-94,927.5,2126,,797.3,,,,799.9,5783.7
7/1/1994,5.3,1-Jul-94,914.2,832,,784.5,,,,793.9,5685.6
8/1/1994,5.2,1-Aug-94,913.3,1445,,782.8,,,,794.8,5690.7
9/1/1994,5,1-Sep-94,930.7,1278,,799.5,,,,798.7,5805.1
10/1/1994,4.7,1-Oct-94,936.4,1297,,805.4,,,,804.3,5813.4
11/1/1994,4.6,1-Nov-94,953.5,891,,822.5,,,,813.5,5924.2
12/1/1994,4.1,1-Dec-94,957.8,739,,825.4,,,,825.9,5956.7
1/1/1995,5,1-Jan-95,937.8,1796,,805.8,,,,808.6,5859
2/1/1995,4.2,1-Feb-95,950.8,643,,818.5,,,,818.7,5932.9
3/1/1995,4.2,1-Mar-95,959.8,1630,,826.1,,,,827.3,5996.1
4/1/1995,4.4,1-Apr-95,960.4,1032,,826.7,,,,828.4,5963.1
5/1/1995,4.3,1-May-95,962,1028,,828.2,,,,830.3,5977.8
6/1/1995,4.5,1-Jun-95,960.4,1652,,826.1,,,,829.7,5979.6
7/1/1995,4.6,1-Jul-95,940.8,975,,807.1,,,,818.6,5854.3
8/1/1995,4.5,1-Aug-95,944.7,1258,,809.8,,,,824,5869.4
9/1/1995,4.5,1-Sep-95,958.1,954,,822.3,,,,825.5,5986.4
10/1/1995,4.3,1-Oct-95,961.8,1097,,826.5,,,,829.1,6003
11/1/1995,4.3,1-Nov-95,976.8,902,,840.4,,,,843.5,6090.8
12/1/1995,4,1-Dec-95,986.8,729,,849.5,,,,852.6,6158.6
1/1/1996,4.7,1-Jan-96,961,1494,,824.9,,,,829.9,6032.1
2/1/1996,4.2,1-Feb-96,976,779,,838.5,,,,842.1,6108.1
3/1/1996,4,1-Mar-96,992,1632,,853.5,,,,852.7,6198
4/1/1996,3.9,1-Apr-96,978.2,873,,840.6,,,,845.9,6137.1
5/1/1996,4.1,1-May-96,980.4,1103,,841.5,,,,848.3,6156.6
6/1/1996,4.1,1-Jun-96,978.4,1643,,838.9,,,,847.9,6146.5
7/1/1996,4.3,1-Jul-96,965.4,996,,826.6,,,,842.1,6039.1
8/1/1996,3.9,1-Aug-96,968.5,1524,,828.7,,,,846.3,6067.6
9/1/1996,4,1-Sep-96,983.2,1164,,843.2,,,,849.3,6176
10/1/1996,3.7,1-Oct-96,991.8,1082,,850.7,,,,856.3,6206
11/1/1996,3.9,1-Nov-96,1004.2,779,,862.7,,,,868.6,6287.7
12/1/1996,3.5,1-Dec-96,1013.2,929,,870.4,,,,879,6354.6
1/1/1997,4.1,1-Jan-97,995,896,55.5,853.9,,,,862.8,6262.3
2/1/1997,3.8,1-Feb-97,1006.4,806,56.5,864.2,,,,872.2,6318.3
3/1/1997,3.7,1-Mar-97,1017.1,2148,56.8,874.1,,,,883.1,6377.8
4/1/1997,3.5,1-Apr-97,1023,1098,57.7,878.3,,,,889.3,6378.1
5/1/1997,3.6,1-May-97,1023.8,980,57.5,877.9,,,,890.8,6395.1
6/1/1997,3.9,1-Jun-97,1024.9,1761,57.9,877.6,,,,892.9,6389.4
7/1/1997,3.7,1-Jul-97,1018.8,1728,59,871.8,,,,895.1,6291.9
8/1/1997,3.6,1-Aug-97,1023.8,1384,59.6,876.2,,,,900.6,6315.9
9/1/1997,3.6,1-Sep-97,1038.9,2118,59.6,890.3,,,,905.6,6432.9
10/1/1997,3.3,1-Oct-97,1047.6,1735,58.9,899.8,,,,910.1,6458.9
11/1/1997,3.3,1-Nov-97,1057.7,739,60.2,909.5,,,,921.9,6521.5
12/1/1997,3.2,1-Dec-97,1067.3,1246,60.3,917.9,,,,930.8,6598.1
1/1/1998,3.8,1-Jan-98,1050.9,912,59.2,901.3,,,,916.3,6504.6
2/1/1998,3.4,1-Feb-98,1064.6,885,60.2,914,,,,928.7,6564.2
3/1/1998,3.4,1-Mar-98,1069.2,1521,60.2,918.7,,,,933,6614.3
4/1/1998,3,1-Apr-98,1066.2,1374,60.3,917.5,,,,930.9,6584.1
5/1/1998,3.1,1-May-98,1070.2,1824,60.5,920.9,,,,935.4,6594.2
6/1/1998,3.4,1-Jun-98,1074,1979,61,923.6,,,,940.4,6604
7/1/1998,3.3,1-Jul-98,1055.4,1409,61.7,906,,,,929.8,6504
8/1/1998,3.2,1-Aug-98,1056,1642,61.8,906.3,,,,931.9,6506.9
9/1/1998,3.2,1-Sep-98,1067.6,1309,61.8,917.9,,,,932,6616
10/1/1998,3,1-Oct-98,1079.4,1953,62.8,929.4,,,,942,6676.8
11/1/1998,2.9,1-Nov-98,1090,1561,63.6,939.5,,,,951.4,6744.1
